,Text
13864,Tomás Pérez
13866,maestre
14048,Juan Corral
14102,señor visorrey
14104,Lorenzo Juárez de Mendoza
14113,encomenderos
14153,Diego de Avendaño
14169,reverendos
14170,padres
14172,Antonio de la Serna
14179,Pascual de la Anunciación
14274,Yasa Huyya
14275,Yaani Cuin
14290,Diablo
14294,Yaqüinzi
14295,Yanacuu
14459,Joseph de Sandoval
14462,Gregorio de Lara
14465,Gabriel de Mendoza
14466,Pedro de Canseco
14470,Martín de Espinosa
14472,Gabriel Rodríguez
14506,Diosdado Treviño
14566,Juan Alonso de Contreras
14601,Cristóbal López Solís
15081,Christóbal de Salas
15201,Guatacayo
15202,Guatacazio
15390,navegantes
15396,pintores
15405,Pedro Felipe
15408,Francisco Hernández
15409,Pedro Gallego
15410,Juan de Poblete
15412,Pedro Phillippe
15415,Alonso Gabriel Bobo
15512,Tiacahua
15698,amantecas
15789,Pedro Philippe
15810,Pedro Pérez de Zamora Abarca
15827,Pablo Ximénez
15829,Domingo de Mendoza
15831,Gaspar López
15833,Baltasar Vázquez
15837,Juan de Aguilar
15840,Miguel de los Ángeles
15843,Domingo García
15851,Colmenero
15940,Santa María Magdalena
15943,San Marcos
15946,San Bartolomé
15949,San Lucas
15952,San Dionisio
15961,San Felipe
15987,Montezuna
16201,Pedro Pérez de Zamora
16206,Jerónimo Bosque
16208,Fabián de Arboradas
16226,Pedro de la Palma
16245,Gutierre Díez de Miranda
16260,naguatlato
16268,naguatlatos
16282,Tonatio
16289,Capitán
16323,Luis de Aguilar
16451,Qui Piquini
16567,Gutierre Díez Miranda
16583,ilustre señor
16584,Alonso de Canseco
16598,su Majestad
16603,real Persona
16605,Diego de Velasco
16611,Martín de Aguilar
16613,Gaspar de Aguilar
16615,Thomás Fernández
16631,Bartolomé Martín
16688,Coqui Zehuiyo
16833,Alonso
16855,Luis Cortés
16860,Juan González
16866,Miguel López
16868,Domingo Fernández
16871,Juan García
16897,Santiago
16946,Xonaxi Quecuya
16970,Coqui Gualaniza
17189,bigana
17190,pontífice
17224,muy reverendo señor
17226,Christóbal Ruiz Maldonado
17243,Pedro de León
17247,alguacil mayor
17249,Juan
17251,Thomás Pérez
17261,Majestad real
17270,Persona real
17279,Pantoja
17295,Gaspar de vargas
17415,fulano Pantoja
17429,Coatepetl
17473,recogedor
17682,Gaspar de Vargas
17683,Pedro Pérez de Uribarri
17739,diosa
17740,india vieja
17741,Izpapalotl
17772,tamagazes
17994,oficiales
18043,pilotos
18044,marineros
18105,Telpochtli
18106,mancebo
18408,Bernardino López
18423,Tonatiuh
18425,Antonio Gutiérrez de Ahumada
18436,Bernardino lópez
18527,culebra
18766,Juan Núñez
18767,prior
18771,Gonzalo Bazán
18775,Juan de Cabañas
18777,Andrés Martín
18778,Gaspar Gutiérrez
18784,Marcos Evangelista
18785,alcalde ordinario
18786,Agustín Téllez
18787,Vicente Damián
18961,Texolotecuhtli
18962,Motezuma
18986,Antonio de Ordaz Villagómez
19371,San Agustín
19382,San Joseph
19387,religioso
19401,Ambrosio Bullón
19413,Juan de San Martín
19414,Alonso de los Ángeles
19432,Juan de Bazán
19438,nuestro señor
19443,real
19445,Juan Alonso Rodríguez
19451,cruz
19459,Sebastián Hernández
19460,Christóbal de Vera
19462,su merced
19476,muy excelente señor
19489,muy reverendo padre
19491,Pedro de las Eras
19517,San Miguel Ñundito
19524,San Juan
19542,San Pedro
19780,Ya qh Quehui Neñe
19782,Nahui Cizpaque
19794,Ya qh Quaa
19796,Nahui Mazatzi
19804,Juan de Mendoza
19848,qhyosayo
19850,teul
19865,taysaqui
19867,totazi
19899,coadjutores
19909,licenciados
20155,su Excelencia
20244,Ya co Ñooy
20246,Ce Usumaczi
20272,Ya Qhii
20275,Francisco de Mendoza
20281,Iun Coy
20283,Chicuace Suchil
20288,Diego de Rojas
20320,nuvuiy
20721,Ya co Cuuñi
20726,Ya ji Mañe
20731,Ya si Meni
20737,cónsules
21005,Andrés Méndez
21010,Francisco de Heredia
21022,Alcal de Mayor
