,Text
90049,MILTOMATL
90051,XITOMATL
90057,centeno hermoso
90115,verdolgaas
90154,cecinas
90848,carnes montesas
91008,MANGO
91072,guindas garrofales
91078,PATAXTE
91115,pintan
91735,ciruelos montesinos
91737,uvas montesinas
92068,ciruelos silvestres
92290,dulces
93060,calabazo
93134,chinitas
93381,caldo
94537,calabazuelas chicas
95898,pasa
95925,NACAZCOLOTL
95928,zumaque
96110,AGUSEO
96823,bebe
96870,Erutas
96872,fríjoles
97290,cebarla
98477,tetzonzapotl
98495,chayoquilitl
99596,nuez
100366,prisioneros
100384,yerbecillas
100657,matenimientos
100983,carne salvajina
101266,pitahaya
102626,prietos
102979,jóvenes
102980,sayuelos
102981,blancos
102992,albérchigas
103012,panizo
103027,xoconochtli
103042,calabacitas
103044,hongos
103045,nancatl
103158,arvejacas
104719,sembrado
104721,naranjas dulces
104743,jengibre
104778,Sal
107823,ferias
108558,pimiento
109022,piñoncillos
109750,tlaulli
109770,salsa de chile
109784,gallipavo
109785,huexolotl
109787,perrillos
109903,peruétanos
109905,nochtli
109907,higos blancos
109955,espiga
109956,centli
109964,quilitl
110079,ocuilin
110235,gusanitos
111021,escabeches
111080,limazapotes
111112,coyoles
111176,repollos
111185,melones de agua
112088,zapotes blancos
112091,higos negros
112093,Guamuchiles
112096,arnezuelos
112124,avellanillas
112129,morenas
112255,miel blanca
112470,grana cochinilla
112754,iztactzapotl
113048,toronja
113050,ahuacatl
113375,tolontzapotl
113378,totocamotli
113379,copalxocotl
113380,nantzes
113390,tliltzapotl
113642,atol
115958,torta
116114,frutas labranzas
116130,balche
116293,yxim
116294,ixi'im
116582,posol
116754,cortezas
116868,bul
116869,bu'ul
116877,chayas
116879,cup bez
116880,kup bez
116881,isluch
116882,íxluch
116883,chi chimchay
116884,ch'ínch'in chay
117150,ajiají
117183,alimañas
117192,cáscara de palo
117348,chico zapote
117353,haz
117354,ha'as
117359,op
117522,yjin
117643,refrescos
118329,brabajes
121295,mantienen
121638,vino de miel
123625,tortugas
124000,pescas
124455,cidrones
124835,bebían
124837,quibalche
124838,ki'balche'
126512,za
126513,sa
126517,luch
126522,yc
126523,ik
126529,luches
126562,comemos
126568,yz
126569,is
126573,kuum
126574,k'um
127505,tol
127563,hierba buena
127569,centeno
128050,trigo cocido
128060,buul
128153,calabazate
128173,turma
128178,chochos
128180,ox
128181,putes
128182,tuk
128184,guayas
128185,wayam
128186,bec
128187,bek
128193,romanos
128194,ceutíes
128215,dsin
128216,ts'in
128219,chicam
128220,chiikam
128225,macal
128226,makal
129212,mora
129242,legumbre
130615,pozo
130787,piches
130798,patatas
130799,castaña
131478,balche'
132294,carzilla
132302,carnecilla
132307,agua[ca]tes
132315,hon
132316,on
132320,abal
132325,hop
132610,haaz
132616,xan
132619,chii
132620,chi'
132622,nantzi
132623,nansi
132624,azofeifas
132799,almendrada
132804,cazan
132857,chichinchay
132858,ch'ich'im chay
132859,chai
132860,chay
132869,ya
132874,cuacoyol
132875,coyol
132882,cup
132883,Kup
132884,veez
132885,bees
133384,higuera
133538,servas
133560,aguacate
133575,anona
133580,zulu
133581,ts'almuy
133585,choch
133593,cocoyol
133599,carnaza
133604,cáscara
133605,coco
133607,racimo
133615,zabacabal
133616,sabakabal
133617,yxchiabal
133618,ixchi 'abal
133706,cazar
134528,coptes
134529,kopte
134530,guacuyoles
134531,guacoyul
136647,melón
136661,hojas
136666,berzas
136702,ya'
136705,serba
136746,manjar blanco
136758,frnta
136766,yema
136785,aval
136787,endrinas
136801,acitrón
136822,agallas
136825,carnosidad
136834,requesones
136847,zaragatona
136854,nances
136890,kum
136897,ys
136905,jicamas
136906,xicama
136908,cimera
136933,cilantro
136938,espinacas
137208,aceites
138287,Comían
138289,cena
138293,comen
139808,chocolate
139810,caliente
139920,azucar
139977,injertos
139979,nahuazapotes
140007,yuca boniata
140850,patlaste
141024,legumbers
141146,quauxonequiles
141150,manzanilla
141153,azofaifas
141218,calabacillos
141349,provisiones
142118,nanahuazapotes
142528,tonalmille
143022,yucas boniatas
144216,Coles
145106,cacaos
145409,bocadillo
145512,camidas
145638,tallicos
145675,granillos
145682,especias
145685,azafrán
145686,guisados
145716,salvia
145718,albahaca
145720,camalote
146123,tasajos
146128,vides
146360,jícaras
146376,pataxte
146377,suchit
146467,bodoquillos
146842,pesca
148741,menudos
148920,fijoles
149133,patachtle
149134,achiote
149382,menudo
152515,patastle
152651,xocotes
152797,salinas
