,Text
140040,hojas
140044,contrayerba
140049,rejalgar
140065,emplasto
141058,suchinacaztle
142058,jiote
142059,mal contagioso
142073,suchinacaztli
142171,cigarrillos
142172,restriñidura
142174,ventosidad
143063,cólica
144593,enfermó
145204,leprosos
145270,enfermaron
145591,licor
146174,MEDICINA
146397,indigestos humores
146716,roncha
146721,emponzoñan
146988,pestilentes
146997,almácigos
146998,dragos
147077,axin
147081,indisposiciones
147243,raíz de Michoacán
148018,enfermé
152405,malo
152485,malos aires
152496,resfriarse
152505,orina
152509,xiotes
152510,sarnilla puntiaguda
152524,cañafístula
152731,veneno
152744,grana molida
152746,podridas
