,Text
29354,rebelado
29430,marcado
29574,fundado
29591,visitan
29784,pesquerías
29828,tasa
30295,fundación
30345,confederaron
30353,confederádose
30355,trataban
30356,contrataban
30402,alquilándose
30417,rebelarse
30418,destruyesen
30427,batallas
30434,cortaban
30435,horadaban
30443,degollaban
30447,bañaban
30460,aplacaba
30495,ejercicio
30498,prendían
30515,oráculos
30527,cuarteaban
30894,conquistando
30896,alzar
30902,conquistarla
30906,conquistarlos
30936,conquistaran
30938,rebelión
31021,gobierna
31029,sahumarse
31041,bañándose
31257,descubrimiento
31364,MILPAS
31404,descubrieron
31597,milpas
31945,pacificación
32148,mandaban
32245,plantados
32469,sacrificadero
32510,heredades
32575,poblamos
32579,labramos
32592,poblado
32595,poblar
32641,fundición
32774,muertes
32814,castigados
33104,fundiciones
33283,primicias
33285,salario
33693,presidios
33785,jornal
33892,presidio
33981,pelean
34087,rentan
34638,semente ras
34640,aran
34644,alquilan
34660,pobladas
34821,conquistaban
34874,oraciones
34885,PATOLE
34926,embijar
34927,tiznarse
34934,bautizasen
35037,Descubrimiento
35092,descubrió
35300,cogían
35421,renta
35547,Guerra
35694,ayunado
35855,venera ban
36311,oraba
36352,visita
36353,visitar
36354,administrar
36355,santos sacramentos
36464,sujetarle
36473,gobernó
36500,ponerse en arma
36508,conquistándola
36509,visitándolos
36625,doctrinar
36811,sacrificarlos
36817,veneraban
36846,comíanselos
36847,MITOTE
36855,hurtasen
36867,flecharse
36868,flechábanse
36891,Gobiérnase
36899,electos
36910,administren justicia
36946,flechaban
37003,tejían
37008,traer leña
37010,lavábanse
37088,Cazaban
37196,señoreaban
37307,sembradura
37315,Sembrábanse
37361,huertos
37490,plantado
37535,azogue
37552,canteras
37609,pagarlo
37644,vicariato
37653,fiestas principales
37842,estancias
38120,conquistadas
38188,Cogen
38229,cultivarla
38301,teñirlo
38341,sembrándolos
38517,veneros
38532,Canteras
38535,venas
38791,agujereaban
38823,pregón
39339,MILLPAN
39495,fundólo
39502,fundólos
39587,hilaban
39925,alcabalas
40034,apaciguada
40065,defendieron
40261,peleando
40263,sucedió
40275,peleaba
40283,gobernado
40464,sembrando
40508,sembradíos
40539,cultívanlos
40875,guerrear
40919,idolatrando
40920,adorando
41090,idolatrar
41225,APAMILE
41226,sementera de riego
41479,fundir
41717,flechar
41718,apaciguó
41808,procesos
41888,fundían
42021,labrando
42193,refectorio
42194,DE PROFUNDIS
42195,celebran
42196,oficios divinos
42433,limosnas
42582,funden
42605,quintos
42614,ingenio
42630,vendió
42781,vendieron
42968,cultiven
42972,labraránse
42979,PEPENAS
42983,paga
42995,paguen
43143,Sustentábanse
43424,administra
43727,afinaciones
43728,ensayes
43751,cogido
44110,regidos
44116,sustenta en justicia
44121,administran
44122,instruyen
44188,tributarias
44280,granjas
44296,crian
44355,vedado
44383,Caza
44401,provee
44485,casada
44804,ofrecían papel
44811,QUECHULI
