,Text
130918,porcuno
132363,oso
132365,homigas
132904,bobilche
132905,bobilche'
132907,coh
132908,koh
132910,ekxux
132911,ek'xux
132915,ukekenílche
132916,k'ek'enil che'
132917,axel
132919,haucan
132920,ahaw kan
132921,kokob
132922,k'ok'ob
132923,tasinchan
132924,taxinchan
132925,cuyum
132926,kuyum
132938,chicoh
132940,tzitun
132941,ts'itun
132942,am
132943,chiboh
132944,chiwoh
132956,ceh
132960,cabra
132968,cutz
132969,kuts'
132971,non
132972,nom
132974,becas
132976,haleb
132978,venadillo
132979,chic
132980,chi'ik
132981,tejón
132982,tzub
132983,ts'ub
132984,ba
132987,cuuc
132988,ku'uk
132990,yxvech
132991,ixwech
132994,och
132998,zabin
132999,sa'bin
133009,pay
133010,pa'ay
133012,ahchab
133017,kixpachoch
133018,ki'ich pachoh
133019,puerco espín
133025,zamhol
133026,samho'ol
133665,quitam
133669,ahaw can
133672,cokob
133677,tassinchan
133695,quech
133709,halev
133719,baa
133966,danta
134493,animales monteses
134894,animalías
134898,cazas
136997,ybaches
136998,ixwcech
137012,lombriz
137040,zorro
137057,ix hun pezkin
137058,ixhunpets k'in
137059,largartija
137086,cocob
137136,ah chom
137137,ahch'om
139532,quetzales
139779,tepeizcuintles
139903,pececitos
139904,olomina
140087,guacamayos
140531,tepemechines
140538,lagostines
141031,tepeiscuintles
141089,tlamacaz coatl
141095,mazacoatl
141096,hecacoatl
141097,tlilcoatl
141107,pezotles
141237,zorros raposos
142040,tepeiscuintes
142204,pizotles
142210,temazatl
142218,coxolotles
142220,tequechules
142915,chochos
143100,corcillos
144256,cabras montesas
144283,alcotanes
144293,vencejos
144294,aviones
144295,jirgueritos
144416,gorgojo
145418,anima les
145571,apolille
145602,murciélago
145740,moscas
145744,ANIMALES
145745,AVES
145750,hipopótamo
145751,ternero
145752,elefante
145816,unicornio
145836,cochinatos
145851,armadillo
145865,u jalau
145866,tepescuintle
145868,venadillos
145874,aguiluchos
145876,buharrones
145887,cigüeñas
145899,polla
145919,Pardos
145945,palomino
145982,boca amarilla
145983,culebronas
145991,PESCADOS
146060,macabíes
146061,sábalos
146063,tiburones
146081,garcetas
146086,avemaría
146107,hicoteas marinas
146110,manatí
146143,pollo
146155,jureles
146725,sabandijas pestilenciales
146754,morciélagos
146994,animalejes
147062,terneros
148445,capones
152592,pecesitos
152593,bermejuelas
152751,gusaneras
152756,palomas de Castilla
152766,patos del Perú
152781,tepescuintles
